"BehaviorSpace results (NetLogo 5.1.0)"
"kase-hampejs_simulation1.nlogo"
"experiment"
"01/20/2015 17:53:08:343 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-4","4","-4","4"
"[run number]","prestige_influence","rigidity_effect_start","prophets_limit","number_of_planned_weeks_for_stay","high_prestige_closeness","[step]","count turtles","count practices with [attraction = 1]","count practices with [attraction = 2]","count practices with [attraction = 3]","count practices with [attraction = 4]","count practices with [attraction = 5]","count practices with [attraction = 6]","count practices with [attraction = 7]","count practices with [attraction = 8]","count practices with [attraction = 9]","count practices with [attraction = 10]"
"78","1","10","0","0","false","200","81","25","18","17","6","0","0","0","0","0","0"
"79","1","10","0","0","false","200","81","31","11","15","8","0","0","0","0","0","0"
"80","1","10","0","0","false","200","81","23","19","19","4","0","0","0","0","0","0"
"81","1","15","0","0","false","200","81","16","20","6","1","0","0","0","0","0","0"
"82","1","15","0","0","false","200","81","34","14","4","4","0","0","0","0","0","0"
"83","1","15","0","0","false","200","81","34","12","5","2","0","0","0","0","0","0"
"84","1","15","0","0","false","200","81","15","15","20","3","0","0","0","0","0","0"
"85","1","15","0","0","false","200","81","9","18","5","1","0","0","0","0","0","0"
"86","1","15","0","0","false","200","81","34","7","6","3","0","0","0","0","0","0"
"87","1","15","0","0","false","200","81","16","13","10","0","0","0","0","0","0","0"
"88","1","15","0","0","false","200","81","20","11","18","2","0","0","0","0","0","0"
"89","1","15","0","0","false","200","81","42","12","3","3","0","0","0","0","0","0"
"90","1","15","0","0","false","200","81","32","11","6","0","0","0","0","0","0","0"
"91","1","20","0","0","false","200","81","43","6","10","0","0","0","0","0","0","0"
"92","1","20","0","0","false","200","81","8","21","0","2","0","0","0","0","0","0"
"93","1","20","0","0","false","200","81","29","18","3","2","0","0","0","0","0","0"
"94","1","20","0","0","false","200","81","35","21","0","0","0","0","0","0","0","0"
"95","1","20","0","0","false","200","81","31","7","0","1","0","0","0","0","0","0"
"96","1","20","0","0","false","200","81","26","3","5","0","0","0","0","0","0","0"
"97","1","20","0","0","false","200","81","29","9","11","0","0","0","0","0","0","0"
"98","1","20","0","0","false","200","81","43","5","11","1","0","0","0","0","0","0"
"99","1","20","0","0","false","200","81","29","2","4","0","0","0","0","0","0","0"
"100","1","20","0","0","false","200","81","18","15","2","1","0","0","0","0","0","0"
"101","1","25","0","0","false","200","81","45","14","7","0","0","0","0","0","0","0"
"102","1","25","0","0","false","200","81","21","18","0","0","0","0","0","0","0","0"
"103","1","25","0","0","false","200","81","33","21","2","0","0","0","0","0","0","0"
"104","1","25","0","0","false","200","81","41","10","1","0","0","0","0","0","0","0"
"105","1","25","0","0","false","200","81","27","5","4","0","0","0","0","0","0","0"
"106","1","25","0","0","false","200","81","29","9","2","0","0","0","0","0","0","0"
"107","1","25","0","0","false","200","81","14","5","0","0","0","0","0","0","0","0"
"108","1","25","0","0","false","200","81","27","12","7","0","0","0","0","0","0","0"
"109","1","25","0","0","false","200","81","17","2","1","0","0","0","0","0","0","0"
"110","1","25","0","0","false","200","81","44","1","1","1","0","0","0","0","0","0"
"111","1","30","0","0","false","200","81","40","13","1","0","0","0","0","0","0","0"
"112","1","30","0","0","false","200","81","22","16","1","0","0","0","0","0","0","0"
"113","1","30","0","0","false","200","81","37","10","0","0","0","0","0","0","0","0"
"114","1","30","0","0","false","200","81","18","3","0","0","0","0","0","0","0","0"
"115","1","30","0","0","false","200","81","18","9","0","0","0","0","0","0","0","0"
"116","1","30","0","0","false","200","81","25","10","0","0","0","0","0","0","0","0"
"117","1","30","0","0","false","200","81","53","1","1","0","0","0","0","0","0","0"
"118","1","30","0","0","false","200","81","32","6","0","0","0","0","0","0","0","0"
"119","1","30","0","0","false","200","81","2","6","1","0","0","0","0","0","0","0"
"120","1","30","0","0","false","200","81","34","11","0","0","0","0","0","0","0","0"
"121","2","5","0","0","false","200","81","29","4","19","11","0","0","0","0","0","0"
"122","2","5","0","0","false","200","81","20","35","8","7","0","0","0","0","0","0"
"123","2","5","0","0","false","200","81","16","10","20","18","0","0","0","0","0","0"
"124","2","5","0","0","false","200","81","36","17","18","6","0","0","0","0","0","0"
"125","2","5","0","0","false","200","81","8","27","32","11","0","0","0","0","0","0"
"126","2","5","0","0","false","200","81","18","16","23","17","0","0","0","0","0","0"
"127","2","5","0","0","false","200","81","12","32","13","17","0","0","0","0","0","0"
"128","2","5","0","0","false","200","81","9","37","8","15","0","0","0","0","0","0"
"129","2","5","0","0","false","200","81","16","27","18","13","0","0","0","0","0","0"
"130","2","5","0","0","false","200","81","10","14","12","10","1","0","0","0","0","0"
"131","2","10","0","0","false","200","81","22","14","13","4","0","0","0","0","0","0"
"132","2","10","0","0","false","200","81","24","23","19","3","0","0","0","0","0","0"
"133","2","10","0","0","false","200","81","14","11","22","4","0","0","1","0","0","0"
"134","2","10","0","0","false","200","81","24","37","5","4","0","0","0","0","0","0"
"135","2","10","0","0","false","200","81","32","12","15","10","0","0","0","0","0","0"
"136","2","10","0","0","false","200","81","29","5","7","19","0","0","0","0","0","0"
"137","2","10","0","0","false","200","81","39","18","7","3","0","0","0","0","0","0"
"138","2","10","0","0","false","200","81","5","23","23","8","0","0","0","0","0","0"
"139","2","10","0","0","false","200","81","17","27","13","14","0","0","0","0","0","0"
"140","2","10","0","0","false","200","81","20","5","23","7","0","0","0","0","0","0"
"141","2","15","0","0","false","200","81","48","8","7","1","0","0","0","0","0","0"
"142","2","15","0","0","false","200","81","21","10","14","2","0","0","0","0","0","0"
"71","1","10","0","0","false","200","81","22","16","18","1","0","0","0","0","0","0"
"143","2","15","0","0","false","200","81","12","10","29","8","0","0","0","0","0","0"
"145","2","15","0","0","false","200","81","33","17","10","4","0","0","0","0","0","0"
"146","2","15","0","0","false","200","81","10","23","0","1","0","0","0","0","0","0"
"147","2","15","0","0","false","200","81","41","13","8","6","0","0","0","0","0","0"
"148","2","15","0","0","false","200","81","30","18","0","2","0","0","0","0","0","0"
"149","2","15","0","0","false","200","81","5","20","24","5","0","0","0","0","0","0"
"150","2","15","0","0","false","200","81","45","13","6","0","1","0","0","0","0","0"
"151","2","20","0","0","false","200","81","14","5","10","1","0","0","0","0","0","0"
"152","2","20","0","0","false","200","81","31","12","3","0","0","0","0","0","0","0"
"153","2","20","0","0","false","200","81","28","16","8","0","0","0","0","0","4","0"
"154","2","20","0","0","false","200","81","14","13","8","0","0","0","0","0","0","0"
"155","2","20","0","0","false","200","81","26","23","8","0","7","0","0","0","0","0"
"156","2","20","0","0","false","200","81","33","1","4","2","0","0","0","0","0","0"
"157","2","20","0","0","false","200","81","41","8","0","0","0","0","0","0","2","0"
"158","2","20","0","0","false","200","81","46","16","5","0","0","0","0","0","0","0"
"159","2","20","0","0","false","200","81","27","23","31","0","0","0","0","0","0","0"
"160","2","20","0","0","false","200","81","30","2","1","0","0","0","0","0","0","0"
"161","2","25","0","0","false","200","81","50","11","1","0","0","0","0","0","0","0"
"162","2","25","0","0","false","200","81","31","4","17","0","0","0","0","0","0","0"
"163","2","25","0","0","false","200","81","7","38","1","0","0","0","0","0","0","0"
"164","2","25","0","0","false","200","81","13","14","3","0","0","0","0","0","0","0"
"165","2","25","0","0","false","200","81","55","3","5","0","0","0","0","0","2","0"
"166","2","25","0","0","false","200","81","14","24","1","0","8","0","0","0","0","0"
